dataset,model,horizon,aggregation_method,anomaly_type,injection_seed,detector_type,average_precision,roc_auc,oracle_best_f1,event_recall,mean_detection_delay
ETTh1,nlinear,24,mean,noise_burst,2024,rolling_zscore,0.13304705404986691,0.7338096672836051,0.26086956521691496,1.0,0.25
ETTh1,nlinear,24,mean,noise_burst,2024,flatness,0.010908577832861798,0.09038867128653208,0.04061502756015748,0.0,
ETTh1,nlinear,24,mean,noise_burst,3407,residual,0.6080043541894795,0.8894625637441022,0.5891472868212213,1.0,0.75
ETTh1,nlinear,24,mean,noise_burst,3407,raw_zscore,0.31833722579230084,0.6550629894991025,0.37894736842073257,0.875,0.42857142857142855
ETTh1,nlinear,24,mean,noise_burst,3407,diff_score,0.8359427591952913,0.9782515449505139,0.8111888111883132,1.0,0.125
ETTh1,nlinear,24,mean,noise_burst,3407,rolling_zscore,0.16171488657397137,0.7067930163470856,0.32835820895473294,1.0,0.625
ETTh1,nlinear,24,mean,noise_burst,3407,flatness,0.01206188777865221,0.10884156512621727,0.04403244495940073,0.0,
ETTh1,nlinear,24,mean,stuck_with_jitter,42,residual,0.02913659423045261,0.5448702867181128,0.08040201004977683,0.2,4.0
ETTh1,nlinear,24,mean,stuck_with_jitter,42,raw_zscore,0.05687463004627506,0.47313978292239167,0.2047244094483415,0.2,0.0
ETTh1,nlinear,24,mean,stuck_with_jitter,42,diff_score,0.01813831918198608,0.4225445448271535,0.048215403882232215,0.0,
ETTh1,nlinear,24,mean,stuck_with_jitter,42,rolling_zscore,0.016135611534707526,0.35782122466905075,0.048334421946391204,0.0,
ETTh1,nlinear,24,mean,stuck_with_jitter,42,flatness,0.07407827912548381,0.7568111236589496,0.17210682492546348,0.0,
ETTh1,nlinear,24,mean,stuck_with_jitter,2024,residual,0.018699923213507115,0.3540062645246035,0.05264714581479584,0.0,
ETTh1,nlinear,24,mean,stuck_with_jitter,2024,raw_zscore,0.033842258844801264,0.5651847361153212,0.09582689335370176,0.6,0.0
ETTh1,nlinear,24,mean,stuck_with_jitter,2024,diff_score,0.022315967845816936,0.44861742615607425,0.05607476635508569,0.0,
ETTh1,nlinear,24,mean,stuck_with_jitter,2024,rolling_zscore,0.02215861592732083,0.446852581590381,0.053027305104798736,0.0,
ETTh1,nlinear,24,mean,stuck_with_jitter,2024,flatness,0.07822592847141793,0.7669394766090736,0.1949685534587137,0.0,
ETTh1,nlinear,24,mean,stuck_with_jitter,3407,residual,0.03001271881574888,0.544361161038663,0.08175182481731419,0.25,15.0
